kill themselves
the pill
my medication
hear voices
my psychiatrist
my meds
mental hospital
hearing voices
self harm
afraid that
was forced
to harm
my sex
free will
our bodies
to abuse
meds i
to suicide
voices are
controlled by
the abuse
abuse and
psych ward
my wrists
mentally ill
a psychiatrist
younger i
smoking weed
quit smoking
a burden
a therapist
to swallow
suicide is
health problems
killing people
feel sad
my therapist
do not_cut
feel happy
a suicide
a psychopath
rape is
conspiracy theories
my death
fucking sick
