my last suicide attempt
want to die i
tried to kill myself
i am days clean
me to kill myself
i hate myself and
to kill myself i
to kill myself and
just want to die
i fucking hate myself
i have been clean
wish i was dead
i feel so fucking
i tried to kill
i want to fucking
i want to hug
do not_want to hurt
i wanted to die
and never wake up
ever need to talk
i am a failure
i hate myself i
am such a fucking
hate myself so much
i hate myself so
need to lose weight
it is why i
i am too fat
it hurts so much
hope you are ok
no one likes me
i can not_bring myself
i need to lose
i want to die
voices in my head
i hate my body
i feel so fat
want to kill myself
f u c k
i am ashamed of
i will be dead
had a panic attack
i am crying so
do not_want to eat
i need to cut
i am so worried
have a panic attack
can not_do this anymore
want to be skinny
i can not_stop crying
do not_want to live
i want to cut
fuck away from me
sad all the time
having a panic attack
a waste of space
i am so fucked
i cant do this
such a fuck up
going to kill myself
i want to kill
i should be happy
i am actually crying
