but being
your husband
of blood
would been
they work
country and
my doctor
struggling with
after having
mental health
more that
really fucking
those i
pain and
know some
right off
time again
my friend's
death by
please pray
bit better
me until
a hospital
i for
drugs and
good evening
fucking awesome
hate everything
however i
weight loss
the military
self esteem
reading and
help and
her family
heart goes
have gained
to seek
them then
the broken
rough day
yrs old
the guts
suppose i
a load
am grateful
my post
help people
panic attack
far it
month old
health care
them no
i admire
started my
it very
the army
have felt
our country
am writing
about one
have helped
children are
fuck yeah
every person
am assuming
the blood
he also
a brain
are eating
found that
i share
before so
angry at
red wine
a stand
does not_think
read i
ever said
seriously if
one hand
and cut
or will
family are
saw an
on as
a parent
post i
been awake
commit suicide
to own
victim of
star trek
help others
a christian
woman i
the er
be kind
the loss
bad enough
for many
near me
here have
look it
arms and
broke down
am losing
my wrist
am planning
waiting room
a general
out into
some bad
the chair
my good
strong and
died in
somehow i
many years
and hate
dog in
told that
arrived in
clean and
asked him
notice that
your stomach
no real
is had
for help
are well
bit like
a voice
old girl
more the
am quite
in common
not_able to
those of
awake for
thanks x
named after
posted it
have still
in prison
ago it
proof that
you break
i mentioned
each time
they care
myself on
married and
happened i
birth control
she thinks
loss of
will post
does not_understand
in over
refused to
unless they
is completely
who like
husband is
are alive
was young
been off
would a
while now
an extremely
more or
agreed i
our kids
your health
a victim
and water
can relate
can remember
to scream
ps i
was totally
and asked
to commit
the victim
learned a
feet and
build up
and hard
husband and
of where
a blanket
am buying
am completely
awake and
your skin
worse i
on too
pain i
sleep well
to sort
give in
get fucked
six months
am learning
understand what
ever feel
mixed up
was also
my weight
a rough
away the
i spoke
an adult
me thank
after she
beautiful but
in court
advice i
be well
is awful
used it
he knew
taught me
move forward
people or
ago and
to recover
do think
dog i
home that
struggle with
a law
aside from
body i
not_. but
the navy
asleep i
though just
ever do
the scale
busy and
and woke
remember your
many many
an animal
get food
looks a
and fell
fucking shit
