mentally ill
self harm
humans are
caused by
a feminist
died i
i mostly
the fandom
threatening to
fuck would
okay and
my therapist
only ever
he seems
my period
also like
more so
religion is
gay and
it its
the mental
my mum
black hair
this account
used as
a sexual
live i
my meds
as someone
bit and
feel comfortable
exactly and
health issues
panic attacks
death and
does not_.
are part
to bother
my mental
them my
mental health
kill him
any reason
it im
disagree with
it since
means to
issues and
would also
exactly i
had them
maybe even
they usually
to justify
was because
way lol
replying to
know these
then if
dick and
seen some
a burden
was part
idiot i
anything so
months but
will fix
of men
to exist
which will
anyway i
had never
care and
this even
my original
was not_.
is evil
relationship and
keep having
in hospital
of was
am weird
the account
is not_hard
twitter app
the british
fat i
seen as
am well
so deep
levels of
a response
keep seeing
not_stop crying
men i
died a
an apology
no harm
hospital i
are or
i nearly
a victim
a youtube
your bio
for money
also love
the victim
a failure
interact with
anymore but
am terrified
is said
also had
alone for
to attack
account i
more when
being gay
were right
people when
not_want them
nah it
because some
can dm
money but
now though
alone but
fucking tired
annoying i
side effects
pissed at
refused to
accept that
a sex
him down
one where
i admire
followers i
will dm
cat i
was eating
order it
better it
it shows
basically i
keep looking
meds and
alcohol and
my existence
my page
were really
have followers
pain but
is exhausting
her body
fine but
me does
look amazing
list and
am not_alone
saying the
even for
not_know any
on about
name as
in danger
talk i
and lost
am fucking
i assume
have also
can not_fucking
is shit
fuck them
fucking hard
killed by
page i
omg he
a horror
not_care for
be less
what made
i notice
that her
yeah there
crying so
been following
i deal
the victims
one just
or make
of sex
am used
in ages
and ugly
them just
hate myself
them feel
butt is
me their
nowhere near
came with
in fear
the use
am slowly
associated with
and fucking
like with
been reading
but was
of thinking
pants i
never liked
touch my
people follow
a troll
them before
keeps trying
tho so
though that
free i
which makes
in particular
over them
to nothing
he died
meant i
have not_.
she died
ago so
then maybe
i listened
no im
stop using
weight i
been talking
of fucking
to google
found them
then but
description of
needing to
seeing as
screaming and
said but
was joking
my area
something he
kill yourself
there he
