kill themselves
as do
the pill
my medication
ill and
did not_realise
hear voices
of humour
pills and
realised i
my psychiatrist
david cameron
my meds
in hospital
angry and
a religion
mental hospital
hearing voices
self harm
afraid that
possible i
sex or
was forced
your mum
to harm
my sex
in mental
myself my
i realised
free will
animals are
felt i
the nhs
a vagina
upset and
shit as
i quite
our bodies
to abuse
meds i
mum and
to suicide
fucking disgusting
voices are
anything bad
controlled by
is lots
the abuse
daily mail
have blocked
abuse and
psych ward
to define
realise that
religion and
with mental
pain to
fair to
the meds
my wrists
looking after
film the
named it
might work
penis is
are mentally
i assure
be human
very old
it unless
laws are
blog i
mentally ill
my mum
a psychiatrist
younger i
smoking weed
society is
quit smoking
a burden
was created
a therapist
myself or
married i
to swallow
book or
with women
a government
i reckon
met me
it called
must know
are not_i
suicide is
health problems
killing people
feel sad
i wondered
woman can
my therapist
and drugs
the pills
the sofa
if life
i lie
boring i
something similar
a fucked
do not_cut
a muslim
there they
past life
no use
eventually i
them around
you x
just realised
feel happy
be possible
an attack
only ever
a suicide
not_help me
because nobody
not_really get
death with
you dead
into thinking
they usually
of mental
a psychopath
i ignore
of dead
that men
my doctor
seems i
violence and
religion is
to fake
you alright
and honestly
humans and
their bodies
you twitter
humans are
an angry
one fucking
funny is
be expected
just people
are women
as any
desperate to
skills to
the disabled
their body
rape is
felt that
not_trust the
the shops
feet i
again as
high or
just pay
my skull
and stopped
not_the answer
to punish
conspiracy theories
to human
fucking me
strong for
have fucked
shitting on
been invited
can not_pay
within my
to rule
my medical
people must
in blood
said is
that feel
am not_being
than men
the existence
to realise
of pills
to eliminate
look cool
him alone
my death
fucking hell
sense it
sex for
a psych
in self
take these
the suicide
against her
likes of
to constantly
read or
reading i
the writer
an ear
fuck they
smoking is
will suffer
my mate
die you
weird shit
think but
a planet
destroy the
are shit
unless the
i named
a plastic
stay alive
are boring
assure you
to sue
to nothing
plan i
fucking sick
feel very
how fucking
throw them
in itself
drugs and
cigarettes and
my mental
very quickly
fucking amazing
police are
teach a
racism is
the mentally
and poor
to collect
the slightest
to rape
off he
and felt
a shop
die alone
sort out
nothing really
they kill
