voices in my head
give a fuck about
most of them are
i used to live
to have sex with
i have heard of
what is it like
was a kid i
who the fuck is
they do not_have to
i was younger i
in a way that
which is why i
me but i do
it is a bit
i am just being
of course i do
to me so i
to put up with
they do not_want to
i was talking to
one of my favourite
i have my own
for me it is
when i was at
does not_mean i am
to do what i
i do not_really like
is a bit of
in my head i
the fuck is that
to shut the fuck
i want to talk
but i know it
at me i am
have a right to
am sorry to hear
a huge fan of
i was like i
used to have a
i would make a
you have a nice
it would be like
think i might be
what the fuck i
think it is just
i was a teenager
i used to get
and i do not_care
i am aware of
i know you can
where the fuck is
give a shit about
to talk about it
like the rest of
you are you are
find it hard to
if there is any
i thought you said
i tried to get
and no i am
i used to work
i have been reading
a man with a
did you hear about
i do not_know much
do you think that
if i were to
i used to have
i am scared of
when i was i
do you call a
i am a fucking
i do not_listen to
i do not_know but
i went to a
i was at a
going to end up
what i have done
in the form of
i want to say
know what you mean
when i was young
what you have to
it must have been
not_want to be a
i am not_good at
i should have been
if you can get
have no idea who
i have not_had a
if you live in
in the middle east
we are all in
is a matter of
and i know it
want to be with
i live in a
or is it just
get away with it
is no way to
how do you do
i said i am
my life i have
for a while and
i want them to
maybe it is just
i am beginning to
have a hard time
so i am going
if i am a
the other day i
is the same as
the way i am
i grew up with
i am happy with
what the fuck are
i did not_do it
i would rather die
would like to have
there is a way
to deal with it
it is a nice
it is best to
think that is a
there would be no
i know i just
is what i want
pretending to be a
i am not_. i
what does it mean
me i want to
me i am the
me and it is
like the idea of
like a lot of
that when i was
one day we will
i wanted to be
a few days ago
make it look like
a friend of mine
how much do you
i will never stop
i am the same
and if you are
i will dm you
to deal with the
it is a fucking
but you know what
it is also a
if you believe in
but i am trying
my life has been
it and it is
it is like my
am trying to make
in the world that
but i am getting
you want to talk
i think the only
that makes me happy
that is good i
i am really sorry
want me to be
tell me what to
have a nice day
it is just like
i have not_been able
when i was younger
i want to try
i can not_do it
but that is just
i want to have
i do not_need a
i do not_mean to
i am afraid of
is that it is
that is when i
what do you call
i used to do
there is too much
for a while but
i have a very
you are so beautiful
the end of it
i am full of
to be honest i
i have been thinking
me when i was
i am a very
i hope she is
is a very good
i am not_allowed to
do not_know much about
it seems to be
am going to take
you are a fucking
is why it is
that is why it
i am sorry you
i do not_like the
a cup of tea
me i am just
do not_think it is
but for some reason
that is the thing
do not_care about the
he is the one
sometimes i think i
i can see why
a long time i
i can have a
i am a bit
maybe i am just
what they are doing
i want to give
i am fine with
the first time and
right thing to do
reminds me of my
like i am a
i have an idea
if it was a
have no idea why
i was thinking of
to make you feel
how to deal with
has to do with
but if you do
if i could i
i am very happy
i do not_care about
i will just go
am sure there is
it i am a
a pic of my
to me i will
i like the idea
i am afraid i
the fuck are you
i grew up in
i want to die
i am making a
and that is it
have the right to
i was on the
me because i am
people in this world
do not_know how much
