mental health
my favourite
myself so
this account
a panic
my period
getting worse
the uk
panic attack
kill myself
to escape
cry and
feel sick
this anymore
sex and
it helps
so important
for help
how fucking
a failure
ask my
in but
stuff and
feeling so
myself but
i doubt
hurt me
pain i
told them
would want
while ago
i grew
especially if
crying i
and honestly
anymore but
die i
but whatever
relate to
break down
anyway i
a band
have sex
i kind
done to
but why
way but
a mental
might go
will feel
sad and
should try
them again
the dead
were to
least it
okay but
my personal
bad and
them with
way they
great and
sure they
not_, i
the lack
world of
they keep
am worried
so fuck
lose weight
sort of
i wrote
my skin
be alone
was never
and cry
am afraid
way out
sorry that
and want
and sad
myself from
fucking stupid
is shit
to really
everything but
photo of
me anything
better off
hungry but
aware of
a mess
energy to
a tv
alone and
alone i
make an
hope she
in tears
in fact
the blood
cute but
but does
effort to
my current
break from
better now
of pain
and tired
my pain
liked the
christmas and
very nice
hate myself
my followers
no fucking
please go
my timeline
a human
i stopped
oh fuck
same with
so ugly
to burn
are worth
have u
awesome and
me here
remember to
far i
well as
before but
did and
are okay
am not_.
in is
store and
me being
one would
anyone to
wants me
told him
here if
anymore i
also i
away i
of any
the police
thinking i
in which
weight i
dad was
other one
sure he
thoughts are
cry i
or have
anymore and
video games
too so
to admit
managed to
depends on
for when
yes but
my ex
a shame
the universe
he still
being alone
no point
good person
a list
you understand
months of
the lyrics
is horrible
few months
fuck my
speak to
alone in
am seeing
my account
hard but
amazing i
half an
cant stop
prefer to
has this
am ok
was able
on myself
was no
because everyone
feel really
something for
or not_.
nope i
form of
christmas i
of death
why but
still so
face i
had enough
person but
video game
just fucking
looks at
i play
few years
a doctor
i truly
been having
is not_.
jesus christ
been an
saying it
so angry
to describe
again but
here it
really nice
feel a
which i
still want
me who
place for
everyone i
play it
the stuff
what should
me have
but did
falling apart
us but
a personal
given up
the message
first i
am surprised
lot and
much like
with every
myself up
have left
are very
trying not_to
am fine
with what
